Audience segment report
"April 18, 2023 - October 8, 2023"
Segment status,Audience segment,Type,Campaign,Ad group,Status,Status reasons,Level,Bid adj.,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,Yoga Apparel,In-market segment,Search_Campaign_UK, --,Eligible,,Campaign, --,20,1,5.00%,AUD,1.09,1.09,0.00%,0.00,0.00
Enabled,Camping & Hiking Equipment,In-market segment,Search_Campaign_UK, --,Eligible,,Campaign, --,15,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Women's Media Fans,Affinity segment,Search_Campaign_UK, --,Eligible,,Campaign, --,6,0,0.00%,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Travel,Affinity segment,Search_Campaign_UK, --,Eligible,,Campaign, --,85,5,5.88%,AUD,2.19,10.95,0.00%,0.00,0.00
Enabled,Outerwear,In-market segment,Search_Campaign_UK, --,Eligible,,Campaign, --,20,1,5.00%,AUD,1.63,1.63,0.00%,0.00,0.00
Enabled,All Converters,Website visitors,Search_Campaign_UK, --,Eligible,,Campaign, --,27,3,11.11%,AUD,4.07,12.21,0.00%,0.00,0.00
Enabled,Tennis Enthusiasts,Affinity segment,Search_Campaign_AUS,DSA - Search/Website Categories,Eligible,,Ad Group, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Running Enthusiasts,Affinity segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,0,0, --,AUD,0,0.00,0.00%,0.00,0.00
Enabled,Travel,Affinity segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,38,4,10.53%,AUD,1.53,6.12,6.71%,0.27,22.80
Enabled,Travel Buffs,Affinity segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,39,1,2.56%,AUD,2.02,2.02,0.00%,0.00,0.00
Enabled,Activewear,In-market segment,Search_Campaign_AUS, --,Eligible,,Campaign, --,32,4,12.50%,AUD,1.69,6.74,0.00%,0.00,0.00
